time,strategy_nav_eqw,benchmark_nav_eqw
2024-08-13,0.9058238454704723,0.9809905759844377
2024-08-14,0.901551152635125,0.9815620425837738
2024-08-15,0.9212024557836826,1.003284757458133
2024-08-16,0.9195324478737554,0.9965427964408546
2024-08-19,0.9311466941803039,1.0060377217048497
2024-08-20,0.9299315017700021,1.0046241073271671
2024-08-21,0.9334971997435078,1.0109669381225814
2024-08-22,0.9163087104847315,0.9933826446206834
2024-08-23,0.9262085645026759,1.0001638518446134
2024-08-26,0.9159382713663609,0.9868160631053082
2024-08-27,0.9138718821392844,0.9862608920299265
2024-08-28,0.904956205053509,0.9775510994731069
2024-08-29,0.9039328657790713,0.9773437847609807
2024-08-30,0.914322622872063,0.9882949347569574
2024-09-03,0.887373093614635,0.9616912167666003
2024-09-04,0.8888383071275323,0.9630047846582276
2024-09-05,0.8969224114490488,0.9695590173011235
2024-09-06,0.8643000895087145,0.9373620607767388
2024-09-09,0.8713816745015519,0.948650027369621
2024-09-10,0.8820849589914519,0.9617760189368223
2024-09-11,0.9011523283249765,0.9841153611267216
2024-09-12,0.9160881012758951,1.0011720758237266
2024-09-13,0.9206076683416556,1.004739402133241
2024-09-16,0.9195212981829947,1.0049321696695326
2024-09-17,0.921141963450052,1.0094964656164183
2024-09-18,0.9234018865595653,1.0072063666631308
2024-09-19,0.9435766189787783,1.0409823705495813
2024-09-20,0.9457971751544112,1.0386221220960674
2024-09-23,0.9451194399034042,1.0428650084220235
2024-09-24,0.9482635150156545,1.0435529488710313
2024-09-25,0.9505043320537637,1.0510787953766065
2024-09-26,0.9531710715987953,1.0510976919322097
2024-09-27,0.9514791783862295,1.046568519772694
2024-09-30,0.9585952921153584,1.0543148850193709
2024-10-01,0.9539059415743031,1.0414606100951953
2024-10-02,0.9542621739415401,1.0358993978121869
2024-10-03,0.9601805521145674,1.0416924369131397
2024-10-04,0.9690130378750064,1.0568023907947444
2024-10-07,0.9618654512966647,1.0394381164349948
2024-10-08,0.974206843098919,1.0568740304084967
2024-10-09,0.9781719250683096,1.0597941326451368
2024-10-10,0.9740079951220838,1.0542670441029387
2024-10-11,0.974801456370417,1.0506971531859608
2024-10-14,0.9793691074556945,1.057265222583278
2024-10-15,0.9771683095542231,1.0495451731347492
2024-10-16,0.9715382648676852,1.0431080509686013
2024-10-17,0.9733098782645581,1.0459913926773288
2024-10-18,0.9749255623255697,1.0479929965557924
2024-10-21,0.9747183539280562,1.050742517877027
2024-10-22,0.9810128543025903,1.0615165191098792
2024-10-23,0.9647900090841018,1.038508740563877
2024-10-24,0.9871561558351143,1.0546243982839159
2024-10-25,0.9961654878476487,1.0654389300984348
2024-10-28,0.995983704719891,1.0657058794861873
2024-10-29,1.0035981264727896,1.083003446258005
2024-10-30,0.9991556623392935,1.0789471096795342
2024-10-31,0.9804497400388259,1.0313260131107675
2024-11-01,0.9796731564920946,1.034489624750647
2024-11-04,0.972412507232404,1.0263090441319274
2024-11-05,0.9854682788020755,1.0441000538856
2024-11-06,1.0078156303843357,1.0673784497522263
2024-11-07,1.0270501646732744,1.0931666269002895
2024-11-08,1.0352131149582045,1.095100900226281
2024-11-11,1.0402215600334928,1.0916345820241407
2024-11-12,1.0329412025257108,1.0912011541642284
2024-11-13,1.0324596171891376,1.0885097621919908
2024-11-14,1.0243098615831898,1.0821890787735484
2024-11-15,1.0088539272253056,1.0531830939674673
2024-11-18,1.01960331076137,1.0600490525356594
2024-11-19,1.0269402769580203,1.0722904812696603
2024-11-20,1.0257256977486535,1.070949168912628
2024-11-21,1.022156088133508,1.0659802416349005
2024-11-22,1.0292690431535325,1.068134404844413
2024-11-25,1.0284309020249325,1.0684612691340432
2024-11-26,1.0379437284911521,1.0831490896098375
2024-11-27,1.0294792725241768,1.0717854713572827
2024-11-29,1.039688150067067,1.0827596865306313
2024-12-02,1.0597497496481063,1.1079265611466742
2024-12-03,1.068443351645312,1.1235192957362852
2024-12-04,1.0723854383415858,1.134553977797878
2024-12-05,1.0754850456498848,1.1385997041305056
2024-12-06,1.0935550175214714,1.1578328558802342
2024-12-09,1.0914672131842147,1.152481323583247
2024-12-10,1.0975741671035226,1.1540851897272697
2024-12-11,1.1168796098712859,1.181845456789788
2024-12-12,1.113838979091696,1.1772687001058915
2024-12-13,1.117566033656347,1.1889415628039604
2024-12-16,1.133171113568884,1.2135237649931523
2024-12-17,1.1401494183323386,1.2135468547248818
2024-12-18,1.1090778775590198,1.1627920948046981
2024-12-19,1.1076012934643735,1.1600448053915589
2024-12-20,1.0989890625660441,1.1536899881933693
2024-12-23,1.1102197121291897,1.1730290121550433
2024-12-24,1.129810408232027,1.1955120507909427
2024-12-26,1.1246728690358105,1.1914286128653666
2024-12-27,1.1108735175965723,1.1717713614861724
2024-12-30,1.0986111728349135,1.1535202540831946
2024-12-31,1.088867181651675,1.1389325180537193
2025-01-02,1.079865465113197,1.1383333416903585
2025-01-03,1.0983701599330302,1.1584634780628085
2025-01-06,1.1132483306839123,1.1849663354773226
2025-01-07,1.0957215430930367,1.1579876142698908
2025-01-08,1.0942601261659226,1.1552982734657884
2025-01-10,1.0900228651785762,1.1474199697148704
2025-01-13,1.0882153250853501,1.141262854828982
2025-01-14,1.0773925475880746,1.1268654031138987
2025-01-15,1.1102285511722347,1.1663685944911124
2025-01-16,1.0945063795506949,1.1516227111857873
2025-01-17,1.1042591224740042,1.1663846087005434
2025-01-21,1.1001400856860335,1.1679579613038644
2025-01-22,1.109138753771925,1.1882037694529202
2025-01-23,1.1132746238998372,1.1963596160897885
2025-01-24,1.1149860069124493,1.1992291828158936
2025-01-27,1.120379670375542,1.1706158679454233
2025-01-28,1.1321733172351982,1.2020719665451531
2025-01-29,1.1296995966364314,1.1943864336529213
2025-01-30,1.1383546616297289,1.187204203097269
2025-01-31,1.1401370143934153,1.189609729465277
